time,ambientTemperature,surfTemp100mA,newsurfTemp100mA,surfTemp50mA,surfTemp30mA
3601,27.96156,29.52,29.516,29.5106,29.5
3611,27.961731,29.52,29.516,29.5106,29.5
3621,27.961902,29.52,29.516,29.5106,29.5
3631,27.962073,29.52,29.516,29.5106,29.5
3641,27.962244,29.52,29.516,29.5106,29.5
3651,27.962415,29.52,29.516,29.5106,29.5
3661,27.962586,29.52,29.516,29.5106,29.5
3671,27.962757,29.52,29.516,29.5106,29.5
3681,27.962928,29.62,29.616,29.6106,29.6
3691,27.963099,29.62,29.616,29.6106,29.6
3701,27.96327,29.52,29.516,29.5106,29.5
3711,27.963441,29.62,29.616,29.6106,29.6
3721,27.963612,29.62,29.616,29.6106,29.6
3731,27.963783,29.52,29.516,29.5106,29.5
3741,27.963954,29.52,29.516,29.5106,29.5
3751,27.964125,29.52,29.516,29.5106,29.5
3761,27.964296,29.52,29.516,29.5106,29.5
3771,27.964467,29.52,29.516,29.5106,29.5
3781,27.964638,29.52,29.516,29.5106,29.5
3791,27.964809,29.52,29.516,29.5106,29.5
3801,27.96498,29.52,29.516,29.5106,29.5
3811,27.965151,29.52,29.516,29.5106,29.5
3821,27.965322,29.52,29.516,29.5106,29.5
3831,27.965493,29.52,29.516,29.5106,29.5
3841,27.965664,29.52,29.516,29.5106,29.5
3851,27.965835,29.52,29.516,29.5106,29.5
3861,27.966006,29.52,29.516,29.5106,29.5
3871,27.966177,29.62,29.616,29.6106,29.6
3881,27.966348,29.52,29.516,29.5106,29.5
3891,27.966519,29.52,29.516,29.5106,29.5
3901,27.96669,29.52,29.516,29.5106,29.5
3911,27.966861,29.52,29.516,29.5106,29.5
3921,27.967032,29.52,29.516,29.5106,29.5
3931,27.967203,29.52,29.516,29.5106,29.5
3941,27.967374,29.52,29.516,29.5106,29.5
3951,27.967545,29.52,29.516,29.5106,29.5
3961,27.967716,29.52,29.516,29.5106,29.5
3971,27.967887,29.52,29.516,29.5106,29.5
3981,27.968058,29.52,29.516,29.5106,29.5
3991,27.968229,29.52,29.516,29.5106,29.5
4001,27.9684,29.52,29.516,29.5106,29.5
4011,27.968571,29.62,29.616,29.6106,29.6
4021,27.968742,29.62,29.616,29.6106,29.6
4031,27.968913,29.52,29.516,29.5106,29.5
4041,27.969084,29.52,29.516,29.5106,29.5
4051,27.969255,29.62,29.616,29.6106,29.6
4061,27.969426,29.62,29.616,29.6106,29.6
4071,27.969597,29.62,29.616,29.6106,29.6
4081,27.969768,29.52,29.516,29.5106,29.5
4091,27.969939,29.62,29.616,29.6106,29.6
4101,27.97011,29.52,29.516,29.5106,29.5
4111,27.970281,29.52,29.516,29.5106,29.5
4121,27.970452,29.52,29.516,29.5106,29.5
4131,27.970623,29.52,29.516,29.5106,29.5
4141,27.970794,29.52,29.516,29.5106,29.5
4151,27.970965,29.52,29.516,29.5106,29.5
4161,27.971136,29.52,29.516,29.5106,29.5
4171,27.971307,29.52,29.516,29.5106,29.5
4181,27.971478,29.52,29.516,29.5106,29.5
4191,27.971649,29.52,29.516,29.5106,29.5
4201,27.97182,29.52,29.516,29.5106,29.5
4211,27.971991,29.52,29.516,29.5106,29.5
4221,27.972162,29.52,29.516,29.5106,29.5
4231,27.972333,29.52,29.516,29.5106,29.5
4241,27.972504,29.52,29.516,29.5106,29.5
4251,27.972675,29.52,29.516,29.5106,29.5
4261,27.972846,29.52,29.516,29.5106,29.5
4271,27.973017,29.52,29.516,29.5106,29.5
4281,27.973188,29.52,29.516,29.5106,29.5
4291,27.973359,29.52,29.516,29.5106,29.5
4301,27.97353,29.52,29.516,29.5106,29.5
4311,27.973701,29.52,29.516,29.5106,29.5
4321,27.973872,29.52,29.516,29.5106,29.5
4331,27.974043,29.52,29.516,29.5106,29.5
4341,27.974214,29.52,29.516,29.5106,29.5
4351,27.974385,29.42,29.416,29.4106,29.4
4361,27.974556,29.52,29.516,29.5106,29.5
4371,27.974727,29.52,29.516,29.5106,29.5
4381,27.974898,29.42,29.416,29.4106,29.4
4391,27.975069,29.52,29.516,29.5106,29.5
4401,27.97524,29.52,29.516,29.5106,29.5
4411,27.975411,29.52,29.516,29.5106,29.5
4421,27.975582,29.52,29.516,29.5106,29.5
4431,27.975753,29.52,29.516,29.5106,29.5
4441,27.975924,29.52,29.516,29.5106,29.5
4451,27.976095,29.52,29.516,29.5106,29.5
4461,27.976266,29.52,29.516,29.5106,29.5
4471,27.976437,29.52,29.516,29.5106,29.5
4481,27.976608,29.62,29.616,29.6106,29.6
4491,27.976779,29.52,29.516,29.5106,29.5
4501,27.97695,29.52,29.516,29.5106,29.5
4511,27.977121,29.52,29.516,29.5106,29.5
4521,27.977292,29.52,29.516,29.5106,29.5
4531,27.977463,29.52,29.516,29.5106,29.5
4541,27.977634,29.52,29.516,29.5106,29.5
4551,27.977805,29.52,29.516,29.5106,29.5
4561,27.977976,29.52,29.516,29.5106,29.5
4571,27.978147,29.52,29.516,29.5106,29.5
4581,27.978318,29.52,29.516,29.5106,29.5
4591,27.978489,29.52,29.516,29.5106,29.5
4601,27.97866,29.52,29.516,29.5106,29.5
4611,27.978831,29.52,29.516,29.5106,29.5
4621,27.979002,29.52,29.516,29.5106,29.5
4631,27.979173,29.52,29.516,29.5106,29.5
4641,27.979344,29.52,29.516,29.5106,29.5
4651,27.979515,29.52,29.516,29.5106,29.5
4661,27.979686,29.42,29.416,29.4106,29.4
4671,27.979857,29.52,29.516,29.5106,29.5
4681,27.980028,29.52,29.516,29.5106,29.5
4691,27.980199,29.52,29.516,29.5106,29.5
4701,27.98037,29.52,29.516,29.5106,29.5
4711,27.980541,29.52,29.516,29.5106,29.5
4721,27.980712,29.52,29.516,29.5106,29.5
4731,27.980883,29.52,29.516,29.5106,29.5
4741,27.981054,29.52,29.516,29.5106,29.5
4751,27.981225,29.52,29.516,29.5106,29.5
4761,27.981396,29.52,29.516,29.5106,29.5
4771,27.981567,29.52,29.516,29.5106,29.5
4781,27.981738,29.52,29.516,29.5106,29.5
4791,27.981909,29.52,29.516,29.5106,29.5
4801,27.98208,29.52,29.516,29.5106,29.5
4811,27.982251,29.52,29.516,29.5106,29.5
4821,27.982422,29.52,29.516,29.5106,29.5
4831,27.982593,29.52,29.516,29.5106,29.5
4841,27.982764,29.52,29.516,29.5106,29.5
4851,27.982935,29.52,29.516,29.5106,29.5
4861,27.983106,29.42,29.416,29.4106,29.4
4871,27.983277,29.42,29.416,29.4106,29.4
4881,27.983448,29.42,29.416,29.4106,29.4
4891,27.983619,29.52,29.516,29.5106,29.5
4901,27.98379,29.52,29.516,29.5106,29.5
4911,27.983961,29.52,29.516,29.5106,29.5
4921,27.984132,29.52,29.516,29.5106,29.5
4931,27.984303,29.52,29.516,29.5106,29.5
4941,27.984474,29.52,29.516,29.5106,29.5
4951,27.984645,29.52,29.516,29.5106,29.5
4961,27.984816,29.42,29.416,29.4106,29.4
4971,27.984987,29.52,29.516,29.5106,29.5
4981,27.985158,29.52,29.516,29.5106,29.5
4991,27.985329,29.52,29.516,29.5106,29.5
5001,27.9855,29.52,29.516,29.5106,29.5
5011,27.985671,29.52,29.516,29.5106,29.5
5021,27.985842,29.52,29.516,29.5106,29.5
5031,27.986013,29.52,29.516,29.5106,29.5
5041,27.986184,29.52,29.516,29.5106,29.5
5051,27.986355,29.52,29.516,29.5106,29.5
5061,27.986526,29.52,29.516,29.5106,29.5
5071,27.986697,29.52,29.516,29.5106,29.5
5081,27.986868,29.52,29.516,29.5106,29.5
5091,27.987039,29.52,29.516,29.5106,29.5
5101,27.98721,29.52,29.516,29.5106,29.5
5111,27.987381,29.52,29.516,29.5106,29.5
5121,27.987552,29.52,29.516,29.5106,29.5
5131,27.987723,29.52,29.516,29.5106,29.5
5141,27.987894,29.52,29.516,29.5106,29.5
5151,27.988065,29.42,29.416,29.4106,29.4
5161,27.988236,29.52,29.516,29.5106,29.5
5171,27.988407,29.52,29.516,29.5106,29.5
5181,27.988578,29.52,29.516,29.5106,29.5
5191,27.988749,29.52,29.516,29.5106,29.5
5201,27.98892,29.52,29.516,29.5106,29.5
5211,27.989091,29.52,29.516,29.5106,29.5
5221,27.989262,29.42,29.416,29.4106,29.4
5231,27.989433,29.42,29.416,29.4106,29.4
5241,27.989604,29.52,29.516,29.5106,29.5
5251,27.989775,29.52,29.516,29.5106,29.5
5261,27.989946,29.52,29.516,29.5106,29.5
5271,27.990117,29.52,29.516,29.5106,29.5
5281,27.990288,29.52,29.516,29.5106,29.5
5291,27.990459,29.52,29.516,29.5106,29.5
5301,27.99063,29.52,29.516,29.5106,29.5
5311,27.990801,29.52,29.516,29.5106,29.5
5321,27.990972,29.52,29.516,29.5106,29.5
5331,27.991143,29.52,29.516,29.5106,29.5
5341,27.991314,29.52,29.516,29.5106,29.5
5351,27.991485,29.52,29.516,29.5106,29.5
5361,27.991656,29.52,29.516,29.5106,29.5
5371,27.991827,29.52,29.516,29.5106,29.5
5381,27.991998,29.52,29.516,29.5106,29.5
5391,27.992169,29.52,29.516,29.5106,29.5
5401,27.99234,29.52,29.516,29.5106,29.5
5411,27.992511,29.52,29.516,29.5106,29.5
5421,27.992682,29.52,29.516,29.5106,29.5
5431,27.992853,29.42,29.416,29.4106,29.4
5441,27.993024,29.52,29.516,29.5106,29.5
5451,27.993195,29.52,29.516,29.5106,29.5
5461,27.993366,29.52,29.516,29.5106,29.5
5471,27.993537,29.52,29.516,29.5106,29.5
5481,27.993708,29.52,29.516,29.5106,29.5
5491,27.993879,29.52,29.516,29.5106,29.5
5501,27.99405,29.52,29.516,29.5106,29.5
5511,27.994221,29.52,29.516,29.5106,29.5
5521,27.994392,29.52,29.516,29.5106,29.5
5531,27.994563,29.52,29.516,29.5106,29.5
5541,27.994734,29.52,29.516,29.5106,29.5
5551,27.994905,29.62,29.616,29.6106,29.6
